,price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone,zone_label
102,520000,542,186,5,2,0,3,1,11,Nuevo Milberg,58
103,460000,771,258,6,2,1,4,1,15,Nordelta,57
104,189000,950,150,4,2,0,3,0,10,Pilar,60
105,380000,162,150,6,2,0,3,1,10,Vicente López,86
106,595000,372,372,0,4,1,3,0,6,Palermo,59
107,365000,235,196,5,3,1,3,1,0,Nordelta,57
108,265000,811,197,7,3,0,3,1,4,Escobar,20
109,445000,205,200,5,2,1,4,1,10,Vicente López,86
110,415000,755,185,6,3,1,3,1,0,Villanueva,88
111,950000,742,480,6,3,0,3,1,32,San Isidro,77
112,490000,200,200,0,3,1,4,0,13,Nordelta,57
113,700000,260,211,5,3,1,4,1,10,Capital Federal,11
114,550000,1120,300,6,3,0,4,1,10,Rincón de Milberg,68
115,400000,512,206,6,3,0,3,1,0,Nordelta,57
116,990000,438,304,4,3,0,4,1,0,Vicente López,86
117,775000,335,335,7,5,0,4,1,13,Capital Federal,11
118,270000,92,90,4,0,1,2,1,15,Vicente López,86
119,349000,148,113,4,0,0,3,1,1,Vicente López,86
120,315000,840,185,0,3,0,3,1,0,Villanueva,88
121,315000,190,170,7,2,1,3,1,30,San Isidro,77
122,290000,252,130,5,0,1,4,1,45,Vicente López,86
123,455000,550,171,5,3,0,3,1,0,Nordelta,57
124,490000,501,196,5,3,1,3,1,0,Nordelta,57
125,425000,192,168,6,2,1,4,1,14,Vicente López,86
126,460000,335,335,0,3,1,0,0,40,Capital Federal,11
127,550000,893,312,5,3,0,4,1,10,Pilar,60
128,640000,466,306,4,4,0,3,1,30,Vicente López,86
129,400000,826,193,5,3,0,3,1,0,Villanueva,88
130,980000,1000,340,6,4,0,4,1,10,Nordelta,57
131,1750000,780,550,7,7,0,4,1,0,Capital Federal,11
132,550000,261,235,5,3,0,4,1,25,San Isidro,77
133,750000,1200,400,5,4,0,4,1,0,Villanueva,88
134,640000,328,280,6,3,0,3,1,0,San Isidro,77
135,1650000,1185,520,6,4,0,4,1,0,Nordelta,57
136,350000,497,165,4,3,0,3,1,0,Nordelta,57
137,380000,600,193,5,3,0,3,1,5,Villanueva,88
138,280000,90,90,3,0,0,2,0,10,Capital Federal,11
139,495000,280,205,5,3,0,4,1,30,Vicente López,86
140,790000,337,240,6,4,0,3,1,36,Capital Federal,11
141,690000,795,314,7,5,0,5,1,14,El Talar de Pacheco,18
142,405000,796,197,5,3,0,3,1,0,Villanueva,88
143,106000,550,117,4,3,1,3,0,0,Pilar del Este,61
144,360000,800,155,5,2,1,3,0,10,Santa Fe,80
145,449000,550,200,4,3,0,3,1,0,Nordelta,57
146,260000,112,112,4,2,1,3,0,40,Vicente López,86
147,800000,1000,285,5,5,1,4,1,10,Nordelta,57
148,890000,778,259,5,3,0,3,1,5,Nordelta,57
149,625000,447,264,5,2,0,5,1,20,Vicente López,86
150,490000,567,208,5,3,0,3,1,0,Nordelta,57
151,438000,184,184,4,4,0,3,1,38,Capital Federal,11
152,490000,916,226,6,3,0,4,1,0,Villanueva,88
153,1450000,1240,730,10,4,0,6,0,25,Vicente López,86
154,799000,490,265,4,3,0,3,1,10,GBA Norte,26
155,950000,620,425,6,4,0,5,1,0,Capital Federal,11
156,1200000,350,350,5,5,1,4,1,0,Manuel Alberti,45
157,421000,217,217,5,2,0,4,1,40,Capital Federal,11
158,520000,752,286,6,4,0,4,1,6,Tigre,82
159,189000,145,145,4,3,0,3,0,0,Córdoba,14
160,369000,1178,170,4,3,0,3,1,3,Villanueva,88
161,1500000,1340,428,10,7,0,4,1,8,Nordelta,57
162,595000,640,249,5,3,0,3,1,0,Nordelta,57
163,945000,979,309,8,4,0,4,1,0,Nordelta,57
164,449000,800,185,5,3,0,3,1,4,Villanueva,88
165,1900000,803,803,10,3,0,5,1,15,Capital Federal,11
166,498000,886,195,5,2,0,3,1,0,Pilar,60
167,990000,655,330,7,3,0,3,1,32,Capital Federal,11
168,850000,991,365,7,5,0,4,0,2,Pilar,60
169,435000,880,180,5,3,0,3,0,14,Tigre,82
170,2980000,461,461,0,4,0,4,0,25,Palermo,59
171,670000,240,240,4,3,1,3,1,0,Capital Federal,11
172,570000,293,288,6,4,0,4,1,30,Capital Federal,11
173,195000,131,103,3,2,1,2,0,1,Vicente López,86
174,498000,800,275,4,3,1,3,1,16,Nordelta,57
175,1850000,440,385,8,4,0,4,1,2,Capital Federal,11
176,540000,544,225,5,3,0,4,1,5,Nordelta,57
177,270000,144,113,4,0,1,2,1,0,Vicente López,86
178,1270000,976,400,6,6,0,4,1,4,Nordelta,57
179,495000,498,210,5,2,0,4,1,0,Nordelta,57
180,610000,875,396,5,5,1,3,1,16,Tigre,82
181,325000,503,164,5,3,0,3,1,0,Nordelta,57
182,400000,750,200,5,3,0,3,0,0,Pilar,60
183,465000,413,194,0,2,0,3,1,23,San Isidro,77
184,1380000,1160,302,5,3,0,3,0,9,Nordelta,57
185,285000,150,115,4,0,0,2,1,9,Vicente López,86
186,205000,108,82,3,2,0,2,1,2,Rincón de Milberg,68
187,1050000,1100,370,7,6,0,4,1,0,Rincón de Milberg,68
188,750000,460,400,0,3,0,5,0,0,Rincón de Milberg,68
189,475000,255,198,0,3,1,4,1,0,Nordelta,57
190,420000,2100,400,3,4,1,3,0,7,Córdoba,14
191,295000,800,197,0,5,0,4,0,9,Pilar,60
192,375000,884,196,4,3,0,3,1,0,Villanueva,88
193,748000,878,368,5,5,1,6,1,10,Nordelta,57
194,448000,220,170,5,2,1,3,1,40,Vicente López,86
195,445000,466,197,5,2,0,4,1,0,Nordelta,57
196,870000,660,350,6,6,1,5,1,30,San Isidro,77
197,310000,1100,200,4,3,0,3,1,0,Villanueva,88
198,650000,872,235,5,4,0,4,0,0,Pilar,60
199,314000,480,190,4,2,1,3,0,2,Nordelta,57
200,420000,1900,300,6,2,0,4,1,8,Córdoba,14
201,470000,180,160,4,2,1,3,1,40,Vicente López,86
202,799000,730,251,0,5,0,5,1,0,Nordelta,57
203,370000,588,195,0,2,0,3,0,1,Escobar,20
204,2400000,743,706,0,8,0,7,0,3,Nordelta,57
205,350000,495,165,4,3,0,3,1,0,Nordelta,57
206,550000,987,300,5,3,1,3,1,8,Pilar,60
207,1150000,900,370,6,7,0,4,0,0,Nordelta,57
208,350000,242,180,0,3,0,3,0,25,San Isidro,77
209,650000,801,278,0,5,0,5,0,33,San Isidro,77
210,260000,225,225,7,2,1,4,1,15,Rosario,71
211,340000,950,160,0,3,0,3,1,2,Villanueva,88
212,150000,150,100,3,0,0,2,0,30,La Matanza,38
213,168000,88,69,3,0,0,2,1,20,Vicente López,86
214,345000,720,230,4,2,1,3,1,0,Moreno,53
215,295000,1000,285,0,3,0,4,0,15,Santa Fe,80
216,525000,268,240,5,3,0,4,0,15,Berazategui,5
217,398000,289,194,7,3,0,3,1,3,San Isidro,77
218,355000,325,176,5,2,1,2,0,40,San Isidro,77
219,360000,693,380,4,3,0,3,0,10,Buenos Aires Costa Atlántica,7
220,790000,520,450,0,5,0,3,0,25,San Isidro,77
221,440000,840,235,5,3,0,3,1,10,Moreno,53
222,298000,271,220,7,2,0,3,1,29,San Isidro,77
223,80000,360,96,4,0,1,2,0,3,Roldán,70
224,1290000,1100,430,7,4,0,4,1,10,Nordelta,57
225,580000,1200,330,4,3,0,3,1,5,Pilar,60
226,435000,266,266,4,2,0,3,0,30,Vicente López,86
227,950000,384,348,8,5,0,5,1,30,Capital Federal,11
228,257000,1005,400,10,3,0,3,0,0,Villa Allende,87
229,240000,2217,600,0,3,0,3,0,20,Mendoza,50
230,335000,1157,221,0,4,0,3,0,1,Villanueva,88
231,235000,430,113,4,2,0,3,0,0,Uruguay,85
232,98900,220,110,3,0,1,2,0,35,Rosario,71
233,475000,270,200,4,2,0,3,0,35,Capital Federal,11
234,120000,500,83,0,0,0,2,0,20,Santa Fe,80
235,115000,530,132,4,2,0,3,1,0,Pilar del Este,61
236,410000,1350,350,6,4,0,3,1,0,Córdoba,14
237,350000,1710,270,0,3,0,3,0,12,Santa Fe,80
238,229000,219,219,6,3,0,3,1,10,Pilar,60
239,170000,195,195,4,2,1,3,1,0,Córdoba,14
240,210000,300,135,6,2,1,3,1,0,Rincón de Milberg,68
241,748000,350,250,5,3,1,4,0,15,Punta del Este,65
242,150000,328,150,4,2,0,2,0,0,Río Ceballos,72
243,230000,774,150,4,3,0,3,1,0,Escobar,20
244,350000,627,236,6,3,1,3,0,8,Córdoba,14
245,580000,1500,386,5,4,0,4,0,10,Córdoba,14
246,430000,1000,330,3,4,1,3,0,8,La Calera,36
247,250000,800,170,0,3,0,3,0,15,Pilar,60
248,250000,469,281,6,4,0,4,0,0,Córdoba,14
249,249000,500,260,6,4,1,3,0,1,Mendoza,50
250,285000,760,177,5,3,1,4,1,5,Villanueva,88
251,850000,370,350,6,3,0,4,0,11,Capital Federal,11
252,560000,1500,411,12,4,0,3,0,8,Córdoba,14
253,360000,905,260,5,3,1,4,0,6,Córdoba,14
254,460000,1532,238,5,4,0,4,0,24,San Miguel,78
255,80000,700,80,3,0,0,2,0,0,Mendiolaza,49
256,550000,687,230,4,4,0,3,1,0,Berazategui,5
257,310000,165,125,4,2,1,3,1,0,GBA Norte,26
258,330000,606,143,4,3,0,3,1,5,Tigre,82
259,495000,876,348,0,5,1,5,0,14,El Talar de Pacheco,18
260,190000,217,217,4,3,0,3,0,19,Pilar,60
261,269000,297,104,4,2,0,3,0,4,GBA Oeste,27
262,1300000,1000,370,6,3,0,3,1,10,Pilar,60
263,330000,811,220,5,3,0,4,1,0,Escobar,20
264,650000,639,328,6,0,0,2,0,0,Santa Fe,80
265,495000,770,248,0,3,0,3,0,16,El Talar de Pacheco,18
266,1950000,800,450,7,4,1,3,1,0,San Isidro,77
267,1850000,715,685,5,5,0,4,0,1,Esteban Echeverría,22
268,340000,225,145,5,2,1,3,1,0,Vicente López,86
269,950000,1300,330,5,2,0,3,1,4,Pilar,60
270,290000,845,181,4,2,0,3,1,0,Escobar,20
271,230000,205,105,4,2,1,3,0,19,General San Martín,31
272,275000,800,240,4,2,0,3,0,5,Villa Allende,87
273,850000,1014,300,6,3,0,4,1,13,Pilar,60
274,235000,325,210,5,3,1,3,0,0,Córdoba,14
275,159000,920,164,4,2,0,3,0,2,Escobar,20
276,235000,242,193,5,3,0,3,0,3,Escobar,20
277,430000,353,249,5,4,1,5,1,20,Capital Federal,11
278,175000,470,145,4,3,0,3,1,0,Pilar,60
279,240000,300,210,5,3,0,4,0,30,Córdoba,14
280,450000,298,298,4,4,0,3,1,40,Vicente López,86
281,450000,1200,330,5,3,0,3,0,0,Córdoba,14
282,460000,800,250,0,3,0,4,0,0,Pilar,60
283,498000,320,240,0,4,0,3,0,2,Pilar,60
284,330000,118,91,4,3,1,3,1,0,Vicente López,86
285,75000,1620,90,3,0,1,2,0,2,Unquillo,84
286,350000,240,240,0,2,0,2,0,30,Santa Fe,80
287,580000,430,430,0,0,0,7,0,15,San Isidro,77
288,420000,480,197,5,2,1,3,1,0,Nordelta,57
289,385000,816,226,0,3,0,4,1,0,Villanueva,88
290,690000,385,220,0,3,0,3,0,18,Vicente López,86
291,590000,300,300,0,4,0,4,0,5,Villanueva,88
292,1800000,250,140,5,0,1,3,0,15,Córdoba,14
293,160000,100,70,4,2,1,3,0,7,Córdoba,14
294,395000,146,129,5,2,0,4,0,20,Capital Federal,11
295,350000,937,177,4,2,0,3,1,0,Canning,10
296,360000,320,320,0,4,0,4,0,4,Pilar,60
297,395000,980,245,4,3,0,3,0,5,Pilar,60
298,200000,185,185,4,3,0,3,0,4,Córdoba,14
299,235000,785,155,0,2,0,3,0,0,Escobar,20
300,275000,605,160,5,3,0,3,1,6,Tigre,82
301,1300000,500,430,6,3,1,4,1,20,Capital Federal,11
302,250000,620,150,4,3,0,3,1,7,Pilar,60
303,480000,305,305,0,3,0,4,0,24,San Isidro,77
304,330000,500,189,4,2,0,3,1,4,General Pacheco,29
305,135000,1000,100,5,0,1,3,0,47,Tigre,82
306,640000,600,320,6,4,0,5,0,2,Nordelta,57
307,255000,400,200,4,2,0,3,0,25,Córdoba,14
308,159000,85,74,4,0,1,3,0,0,Santa Fe,80
309,240000,900,165,5,2,0,3,1,0,Escobar,20
310,288000,253,198,0,2,0,4,0,0,Pilar,60
311,330000,730,180,6,2,0,4,0,0,Almirante Brown,0
312,220000,300,176,0,3,0,3,1,0,La Calera,36
313,275000,177,118,4,0,1,3,1,25,Capital Federal,11
314,395000,816,244,0,3,0,4,1,0,Villanueva,88
315,798000,1213,423,6,6,0,4,0,0,GBA Norte,26
316,250000,360,247,0,4,0,4,0,6,Córdoba,14
317,370000,365,300,7,4,1,5,0,20,Capital Federal,11
318,380000,270,155,5,3,1,3,1,0,Vicente López,86
319,300000,500,220,4,2,0,3,1,0,GBA Oeste,27
320,3000000,1443,653,5,4,0,4,1,13,San Isidro,77
321,219000,650,230,5,4,0,4,0,0,Villa Allende,87
322,160000,419,140,4,2,1,3,0,1,Buenos Aires Costa Atlántica,7
323,440000,900,227,6,4,0,4,1,0,Escobar,20
324,255000,620,211,5,3,0,4,0,8,Malvinas Argentinas,44
325,135000,2395,130,4,3,0,3,0,14,GBA Norte,26
326,360000,606,170,4,2,1,3,1,0,Pilar,60
327,350000,230,170,4,2,1,3,0,30,Capital Federal,11
328,1190000,1093,386,6,4,0,3,1,4,Rincón de Milberg,68
329,249000,333,231,5,2,0,4,0,40,Tres de Febrero,83
330,370000,750,400,10,3,0,4,1,10,Córdoba,14
331,248000,762,143,4,2,1,3,1,0,Esteban Echeverría,22
332,268000,414,182,4,2,1,3,1,4,GBA Oeste,27
333,98000,95,65,2,0,1,0,0,30,Rosario,71
334,235000,316,316,5,3,0,4,0,45,Rosario,71
335,730000,721,358,8,5,0,6,1,30,Vicente López,86
336,198000,151,121,5,2,1,0,1,0,La Cañada de Pilar,37
337,140000,140,140,5,2,1,3,0,0,Córdoba,14
338,399000,294,253,0,4,0,3,0,1,Puertos,64
339,330000,680,300,6,4,0,5,0,0,Pilar del Este,61
340,495000,375,294,7,3,0,4,0,35,Capital Federal,11
341,1300000,868,515,9,4,1,5,1,25,San Isidro,77
342,248000,965,176,4,3,0,3,1,0,Villanueva,88
343,390000,1240,200,4,3,0,3,1,40,Pilar,60
344,495000,630,212,0,3,0,3,0,1,General Pacheco,29
345,235000,710,184,0,3,0,4,0,2,Escobar,20
346,229000,600,100,5,2,0,0,0,7,Pilar,60
347,285000,840,170,4,3,0,3,0,0,Pilar del Este,61
348,150000,400,80,3,0,0,2,0,0,Pilar,60
349,870000,847,343,5,4,0,4,1,0,Pilar,60
350,690000,590,318,6,4,0,4,1,40,Vicente López,86
351,140000,288,264,6,2,0,3,0,40,Rosario,71
352,155000,590,125,4,3,0,3,1,0,Pilar,60
353,225000,200,200,5,3,1,3,1,18,Pilar,60
354,370000,826,220,6,2,0,4,1,2,Haras Santa María,32
355,310000,657,158,6,0,0,3,1,40,San Isidro,77
356,950000,650,650,0,5,0,5,0,15,Pilar,60
357,390000,1068,195,5,2,0,4,1,15,Pilar,60
358,790000,1000,470,7,4,0,5,0,0,Nordelta,57
359,490000,632,255,4,6,0,3,0,1,Pilar,60
360,172000,110,95,4,0,0,3,1,12,Ituzaingó,34
361,540000,346,164,4,3,1,3,1,30,Capital Federal,11
362,450000,380,380,5,4,0,4,0,30,Mar del Plata,46
363,600000,754,371,5,3,0,5,1,10,Santa Fe,80
364,680000,990,250,0,4,0,4,0,10,Nuevo Milberg,58
365,590000,800,250,5,4,0,4,1,5,Uruguay,85
366,410000,860,231,6,4,0,3,0,12,Pilar,60
367,395000,203,173,5,4,1,4,0,0,Nordelta,57
368,480000,1071,215,4,2,0,3,1,4,La Plata,39
369,760000,374,345,4,2,0,3,1,36,Capital Federal,11
370,115000,320,120,7,2,1,3,1,30,Córdoba,14
371,545000,565,209,5,3,0,3,1,10,Nuevo Milberg,58
372,890000,984,250,0,4,0,3,1,10,Uruguay,85
373,190000,820,157,4,2,0,3,0,0,San Vicente,79
374,246600,367,180,5,3,1,3,0,0,Córdoba,14
375,212000,800,150,4,3,0,3,1,0,Escobar,20
376,290000,429,210,4,4,0,3,0,5,General San Martín,31
377,459000,601,258,0,3,0,4,1,10,Nordelta,57
378,430000,298,207,4,2,1,3,1,0,Vicente López,86
379,100000,1146,115,4,0,1,3,0,40,Malvinas Argentinas,44
380,395000,237,177,5,3,0,3,0,25,San Isidro,77
381,230000,155,152,0,2,1,4,0,0,Rosario,71
382,660000,930,415,7,5,0,6,0,6,Pilar,60
383,590000,302,300,0,2,0,3,1,0,San Isidro,77
384,485000,330,260,6,3,1,4,0,12,Vicente López,86
385,1450000,1195,480,0,0,0,4,0,45,San Isidro,77
386,599000,418,365,6,5,0,5,1,36,Vicente López,86
387,148000,221,95,5,0,1,2,0,31,Santa Fe,80
388,150000,1000,140,4,2,0,3,0,0,Buenos Aires Costa Atlántica,7
389,2200000,1600,800,0,5,0,5,1,35,San Isidro,77
390,320000,700,270,6,4,0,3,1,30,San Miguel,78
391,330000,270,210,4,3,1,0,0,0,Escobar,20
392,198000,154,130,3,2,1,2,1,8,Pilar,60
393,280000,1096,283,5,2,0,3,0,12,Villanueva,88
394,1700000,1414,500,6,4,0,4,1,0,San Isidro,77
395,269000,860,200,0,3,0,4,0,3,Escobar,20
396,299000,259,147,4,0,0,3,1,20,Vicente López,86
397,270000,1548,120,0,2,0,2,0,35,Santa Fe,80
398,225000,217,135,0,4,1,3,0,11,Capital Federal,11
399,180000,120,120,4,3,1,3,0,20,Pilar,60
400,140000,277,182,5,2,0,3,0,39,Córdoba,14
401,260000,640,200,5,2,1,3,1,12,Santa Fe,80
402,650000,980,280,0,0,0,4,0,11,Tigre,82
403,360000,600,270,4,3,1,3,0,0,Córdoba,14
404,485000,570,178,5,3,1,4,1,2,Nordelta,57
405,198500,217,109,0,0,0,3,0,40,Santa Fe,80
406,515000,525,240,4,2,1,3,1,31,GBA Norte,26
407,365000,816,204,0,4,0,3,1,0,El Cantón,17
408,248000,800,151,5,2,1,3,1,0,Pilar,60
409,650000,461,461,9,5,0,8,0,30,Rosario,71
410,330000,567,162,4,3,1,3,1,7,Nordelta,57
411,210000,850,110,0,2,0,3,0,3,Escobar,20
412,1200000,705,350,7,4,0,4,0,15,San Isidro,77
413,205000,900,160,4,2,1,3,1,0,Escobar,20
414,175000,570,185,8,3,0,3,0,0,Córdoba,14
415,345000,161,161,6,2,1,4,1,40,Vicente López,86
416,490000,350,300,6,4,0,3,1,30,Capital Federal,11
417,420000,280,280,0,0,0,4,0,2,GBA Sur,28
418,880000,1000,306,0,4,0,4,0,13,Tigre,82
419,210000,300,115,5,2,1,3,1,2,Rincón de Milberg,68
420,625000,353,268,6,3,1,5,0,14,Capital Federal,11
421,1600000,898,510,7,4,0,4,0,10,Pilar,60
422,230000,1200,171,4,3,0,3,0,0,Ezeiza,24
423,295000,258,173,5,3,0,3,0,0,Almirante Brown,0
424,290000,504,243,6,4,0,5,1,40,Mar del Plata,46
425,259000,200,110,4,3,1,3,0,0,Vicente López,86
426,560000,268,268,10,3,1,4,1,0,Nordelta,57
427,130000,545,190,6,2,0,4,0,9,Mendoza,50
428,495000,900,320,6,3,0,0,1,10,Pilar,60
429,198000,70,70,3,0,0,2,0,25,Vicente López,86
430,395000,898,196,5,3,0,3,1,0,Villanueva,88
431,235000,800,140,4,3,1,3,1,19,Pilar,60
432,390000,485,320,8,3,0,4,0,6,Córdoba,14
433,290000,805,165,4,3,0,3,1,0,Escobar,20
434,520000,1000,320,6,3,0,4,1,10,Tigre,82
435,418000,440,240,5,4,0,3,1,45,Almirante Brown,0
436,390000,192,173,8,3,1,3,1,0,Pilar,60
437,168000,180,150,4,3,1,3,1,0,Córdoba,14
438,250000,961,180,4,2,1,3,0,11,Pilar,60
439,350000,990,290,7,3,1,4,1,20,Pilar,60
440,630000,335,329,10,5,1,4,1,13,San Isidro,77
441,125000,107,107,0,2,0,3,0,20,Escobar,20
442,230000,750,200,6,3,0,4,1,1,General San Martín,31
443,195000,220,220,0,0,0,3,0,25,Pilar,60
444,258000,122,100,3,2,1,2,0,30,Vicente López,86
445,360000,236,145,4,3,1,3,0,35,Capital Federal,11
446,150000,200,160,5,2,1,4,0,10,Lanús,40
447,175000,152,95,4,0,0,3,0,15,Vicente López,86
448,420000,310,160,4,0,1,3,0,40,Vicente López,86
449,199000,259,111,5,2,1,4,0,0,San Isidro,77
450,210000,707,177,5,2,0,4,1,0,Pilar del Este,61
451,250000,160,160,5,2,1,4,0,30,Rosario,71
452,640000,262,216,4,3,1,3,0,40,Capital Federal,11
453,290000,817,210,7,2,0,3,0,23,Pilar,60
454,130000,271,150,0,0,0,3,1,48,Córdoba,14
455,440000,250,250,7,3,0,4,1,33,San Isidro,77
456,345000,621,560,0,4,0,4,1,22,Córdoba,14
457,498000,615,238,0,4,1,4,1,4,General Pacheco,29
458,150000,675,84,3,0,0,2,0,5,Buenos Aires Costa Atlántica,7
459,250000,500,160,5,2,0,2,0,2,Malagueño,43
460,740000,758,268,6,3,0,4,1,0,Nordelta,57
461,350000,753,297,0,2,0,3,0,4,Escobar,20
462,465000,611,204,0,2,0,3,0,4,General Pacheco,29
463,990000,422,404,0,5,0,3,0,1,San Isidro,77
464,350000,1414,403,10,4,1,4,0,8,Córdoba,14
465,665000,389,369,11,4,0,3,1,13,Pilar,60
466,550000,284,230,4,2,0,3,1,10,Pilar,60
467,340000,900,275,7,3,0,3,1,15,Moreno,53
468,630000,820,370,0,5,0,5,0,10,Nordelta,57
